tract,population_density,median_age,median_hh_income,median_home_value,income_gini,diversity_index,percent_bachelor_degree,percent_high_school_graduate,percent_homes_occupied_by_owner,percent_homes_occupied_by_renter,10_y_population_%_change,10_y_median_home_value_%_change,10_y_income_gini_%_change,10_y_diversity_index_%_change,10_y_percent_homes_occupied_by_owner_%_change,10_y_percent_homes_occupied_by_renter_%_change,5_y_population_%_change,5_y_median_home_value_%_change,5_y_income_gini_%_change,5_y_diversity_index_%_change,5_y_percent_homes_occupied_by_owner_%_change,5_y_percent_homes_occupied_by_renter_%_change,STATEFP,COUNTYFP,GEOID,NAME,MTFCC,FUNCSTAT,ALAND,AWATER,lat,lng,geometry,100000_sqft,school_rating,cultural_rating,cultural_density,greenery_rating,greenery_density,retail_rating,retail_density,negative_density,restaurants_rating,restaurants_density,nightlife_rating,nightlife_density,fitness_rating,fitness_density
Census Tract 2 005,319.2509670345094,37.9,33726.0,426200.0,0.4425,-0.3901995616892496,0.242274412855377,0.22744128553770088,0.53077975376197,0.3857729138166895,-0.027764815678954738,0.08585987261146497,0.22237569060773485,-0.08716203594396953,-0.009909901410443789,0.03197981036841363,-0.22876179900055524,0.027978774722624215,0.13374327440430445,-0.08199020165952943,0.06429181810513351,-0.07200188511092448,36,005,36005000200,2,G5020,S,452832,852406,40.8081797,-073.8566781,"POLYGON ((-73.866484 40.805901, -73.86231 40.80992, -73.862224 40.810030999999995, -73.86115 40.811420999999996, -73.861642 40.811702, -73.862785 40.812318, -73.86337499999999 40.812647999999996, -73.864431 40.813269, -73.864626 40.814214, -73.865128 40.814144, -73.865218 40.814529, -73.864255 40.814658, -73.863329 40.814782, -73.862404 40.814906, -73.861482 40.815028999999996, -73.860554 40.815155, -73.859717 40.815269, -73.859555 40.815114, -73.858383 40.813997, -73.858189 40.813812, -73.85772 40.813362, -73.857156 40.812824, -73.856133 40.811415, -73.85561799999999 40.810607999999995, -73.85545599999999 40.809947, -73.855312 40.809329, -73.855295 40.808899, -73.855159 40.808318, -73.854984 40.807716, -73.854807 40.807258999999995, -73.854604 40.806526999999996, -73.854417 40.80578, -73.85586099999999 40.805671, -73.856498 40.805682, -73.856487 40.80547, -73.856478 40.805409, -73.85652999999999 40.804794, -73.855426 40.804505999999996, -73.855256 40.804607999999995, -73.854632 40.799724, -73.862965 40.79767, -73.866484 40.805901))",13.052427181996816,1.864795918367347,4.7,0.04692085869783888,4.33,0.2346281444735211,3.3777777777777778,0.42223264538079275,0.07038009438168466,0.0,0.0,4.5,0.023462948325848474,3.5,0.023459466233941288
Census Tract 4 005,388.92027321056185,40.1,44244.0,437600.0,0.3646,-0.4148876329285196,0.2227529309596179,0.19018671298306555,0.7047315741583258,0.2552320291173794,0.16165951359084407,0.11150622301244602,-0.06512820512820522,-0.11977503995888272,0.12617334865000784,-0.10952459441928108,-0.03905325443786982,0.26036866359447003,0.0005488474204170636,0.020505245212886006,0.045736740903276396,0.011925312348943534,36,005,36005000400,4,G5020,S,770689,690794,40.8087867,-073.8514252,"POLYGON ((-73.859597 40.815283, -73.85870299999999 40.815405, -73.85777999999999 40.815529999999995, -73.856783 40.815661999999996, -73.85551699999999 40.815833, -73.85471799999999 40.815942, -73.85361999999999 40.816088, -73.851629 40.816354, -73.851145 40.814395999999995, -73.850899 40.814344, -73.850115 40.814419, -73.849097 40.814551, -73.848112 40.814687, -73.847054 40.814826, -73.846632 40.813013, -73.846097 40.813078999999995, -73.84646699999999 40.812306, -73.846387 40.811625, -73.84313399999999 40.811603, -73.845117 40.806298999999996, -73.846654 40.801024, -73.853072 40.800112999999996, -73.854632 40.799724, -73.855256 40.804607999999995, -73.855426 40.804505999999996, -73.85652999999999 40.804794, -73.856478 40.805409, -73.856487 40.80547, -73.856498 40.805682, -73.85586099999999 40.805671, -73.854417 40.80578, -73.854604 40.806526999999996, -73.854807 40.807258999999995, -73.854984 40.807716, -73.855159 40.808318, -73.855295 40.808899, -73.855312 40.809329, -73.85545599999999 40.809947, -73.85561799999999 40.810607999999995, -73.856133 40.811415, -73.857156 40.812824, -73.85772 40.813362, -73.858189 40.813812, -73.858383 40.813997, -73.859555 40.815114, -73.859717 40.815269, -73.859597 40.815283))",14.61482054683911,1.8605263157894736,4.8,0.14072940050288635,4.336363636363637,0.25807900207497714,3.2526315789473683,0.44568584824874385,0.0703592384833938,0.0,0.0,4.0,0.046915198321206504,3.5,0.023459466233941288
Census Tract 16 005,1219.8081673152856,39.3,21081.0,575200.0,0.5882,-0.3536357302827523,0.12358349369253795,0.2386144964720975,0.11908045977011494,0.8708045977011494,0.15116731517509727,0.5212906638455435,0.4038186157517899,-0.21149141300850888,-0.08550938397988506,0.10713272270114937,0.006463684300051029,0.4744937195590874,0.17218015145476268,-0.22606980425388284,-0.05002999966292512,0.07999325850271344,36,005,36005001600,16,G5020,S,485079,0,40.8188478,-073.8580764,"POLYGON ((-73.862464 40.819247, -73.861531 40.819379, -73.86202899999999 40.821509, -73.861114 40.821632, -73.860193 40.821757, -73.859262 40.821881999999995, -73.85826399999999 40.822013, -73.858445 40.822773999999995, -73.855312 40.823192, -73.855136 40.822435999999996, -73.854967 40.82168, -73.85480799999999 40.821028999999996, -73.854637 40.8203, -73.854142 40.818238, -73.853949 40.817467, -73.853787 40.816815, -73.85361999999999 40.816088, -73.85471799999999 40.815942, -73.85551699999999 40.815833, -73.856783 40.815661999999996, -73.85777999999999 40.815529999999995, -73.85870299999999 40.815405, -73.859597 40.815283, -73.859717 40.815269, -73.860554 40.815155, -73.861482 40.815028999999996, -73.861982 40.817135, -73.862078 40.817521, -73.862464 40.819247))",4.850762733473832,1.8372641509433962,4.8,0.14072940050288635,4.2,0.2814918229042505,3.3034482758620687,0.6802188948044772,0.14073932977448192,3.625,0.09379390926054074,4.0,0.046915198321206504,3.6666666666666665,0.07035392951326193
Census Tract 19.01 005,931.6764612467455,32.6,37957.0,-95814640.11432506,0.5329,-0.3953077973165665,0.30691056910569103,0.17818428184281843,0.009489916963226572,0.9205219454329775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,005,36005001901,19.01,G5020,S,205007,0,40.8067879,-073.9280462,"POLYGON ((-73.931801 40.807876, -73.930938 40.808253, -73.93010799999999 40.808876999999995, -73.92952199999999 40.809322, -73.92944 40.809384, -73.929332 40.809470999999995, -73.929219 40.809563999999995, -73.928556 40.809045999999995, -73.927618 40.808637999999995, -73.92742 40.808552, -73.926524 40.808161999999996, -73.925507 40.807718, -73.924713 40.80737, -73.92426499999999 40.807175, -73.924465 40.806889, -73.92456299999999 40.806771, -73.92474399999999 40.806554, -73.925229 40.805899, -73.92553099999999 40.805453, -73.925703 40.805284, -73.925765 40.805223, -73.92596999999999 40.805108, -73.926613 40.804646999999996, -73.926777 40.804555, -73.927076 40.8044, -73.92725899999999 40.804303999999995, -73.928225 40.80385, -73.928401 40.804106, -73.929986 40.805793, -73.930347 40.806196, -73.93040599999999 40.806478999999996, -73.93116599999999 40.807204999999996, -73.931801 40.807876))",2.050067893144029,1.848375451263538,3.0,0.7046515455449883,3.6399999999999997,0.2348670290172395,3.139285714285714,0.6576671845728029,0.16444024180667927,3.642857142857143,0.328876707686194,3.6136363636363638,0.5168282018106592,4.4,0.11747639704693494
Census Tract 19.02 005,283.9873305991368,30.9,19176.0,350000.0,0.5274,-0.2524200906862597,0.13296903460837886,0.25045537340619306,0.16260162601626016,0.7289972899728997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,005,36005001902,19.02,G5020,S,469741,0,40.8036830,-073.9159297,"POLYGON ((-73.925765 40.805223, -73.925703 40.805284, -73.92553099999999 40.805453, -73.925229 40.805899, -73.92474399999999 40.806554, -73.92456299999999 40.806771, -73.924465 40.806889, -73.92426499999999 40.807175, -73.92263799999999 40.806478999999996, -73.921448 40.805989, -73.920615 40.805651, -73.918819 40.804905, -73.917315 40.804297999999996, -73.915868 40.803714, -73.915789 40.803711, -73.91563099999999 40.8037, -73.915498 40.803698, -73.915324 40.803705, -73.915166 40.803716, -73.91504599999999 40.803726999999995, -73.91490499999999 40.803742, -73.914776 40.803762, -73.91458899999999 40.803796999999996, -73.914429 40.803844999999995, -73.914262 40.803902, -73.914172 40.80394, -73.91405999999999 40.80399, -73.913478 40.804263, -73.912947 40.804497999999995, -73.91244999999999 40.804707, -73.912285 40.804798, -73.911476 40.805171, -73.910555 40.805594, -73.909672 40.805994, -73.909127 40.806166, -73.909055 40.806073, -73.909018 40.806038, -73.908959 40.805975, -73.908806 40.805865999999995, -73.907793 40.805279, -73.907749 40.805253, -73.906657 40.804615, -73.90547 40.803931, -73.906052 40.803367, -73.907225 40.804046, -73.908338 40.804660999999996, -73.908356 40.804669, -73.90893799999999 40.804094, -73.909583 40.803461999999996, -73.910162 40.802875, -73.910769 40.802308, -73.911335 40.801718, -73.911974 40.801119, -73.912626 40.800526, -73.91279 40.800353, -73.913242 40.799937, -73.91331699999999 40.799983999999995, -73.914189 40.800340999999996, -73.916822 40.801466, -73.916949 40.80152, -73.91713399999999 40.801601, -73.917332 40.801688, -73.920283 40.802915, -73.922078 40.803678, -73.922868 40.804041999999995, -73.924213 40.804586, -73.925231 40.805003, -73.925705 40.805198, -73.925765 40.805223))",4.697392651938449,1.8349514563106797,2.3714285714285714,0.49322198728076727,3.8333333333333335,0.28181907647521665,3.4160000000000004,0.5871083106419345,0.11744456146706121,4.125,0.09396475111364262,3.9375,0.18790838547284006,5.0,0.02348936604084329
Census Tract 20.01 005,2425.8054153718954,26.2,11697.0,-95814640.11432506,0.5144,-0.47818801327207694,0.03524928548745634,0.2527786598920292,0.0,0.9975874547647768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,005,36005002001,20.01,G5020,S,199398,0,40.8173941,-073.8678806,"POLYGON ((-73.87050099999999 40.820364, -73.868881 40.820586, -73.86857599999999 40.820623999999995, -73.867656 40.820751, -73.867164 40.818616, -73.866198 40.818745, -73.86583999999999 40.817201999999995, -73.86578999999999 40.816987, -73.86570499999999 40.816623, -73.865218 40.814529, -73.866045 40.814395999999995, -73.866361 40.814354, -73.866456 40.81435, -73.866756 40.814311, -73.867727 40.814220999999996, -73.86893599999999 40.815142, -73.868653 40.816218, -73.869495 40.816102, -73.869524 40.816116, -73.869545 40.816140999999995, -73.86956599999999 40.816207, -73.86962 40.816480999999996, -73.869669 40.816705999999996, -73.869998 40.818242, -73.87050099999999 40.820364))",1.9939769156045226,1.8439716312056738,4.45,0.09383524730965788,4.333333333333333,0.21117104382874316,3.8346153846153848,0.6099099773382076,0.07038009438168466,0.0,0.0,4.5,0.023462948325848474,0.0,0.0
Census Tract 20.02 005,2327.062203066788,38.4,23477.0,447100.0,0.5564,-0.5364259354986487,0.12464442720455134,0.2547194207395914,0.2890115403913698,0.6467636728549925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,005,36005002002,20.02,G5020,S,204892,0,40.8176370,-073.8644248,"POLYGON ((-73.867656 40.820751, -73.86669599999999 40.820879999999995, -73.865746 40.821011999999996, -73.864511 40.819846999999996, -73.864314 40.818999, -73.863705 40.819083, -73.863391 40.819122, -73.862464 40.819247, -73.862078 40.817521, -73.861982 40.817135, -73.861482 40.815028999999996, -73.862404 40.814906, -73.863329 40.814782, -73.864255 40.814658, -73.865218 40.814529, -73.86570499999999 40.816623, -73.86578999999999 40.816987, -73.86583999999999 40.817201999999995, -73.866198 40.818745, -73.867164 40.818616, -73.867656 40.820751))",2.048935345912262,1.8447058823529412,4.7,0.04692085869783888,4.288888888888889,0.2111485720960493,3.5818181818181816,0.5160706649844589,0.07038009438168466,0.0,0.0,4.5,0.023462948325848474,0.0,0.0
Census Tract 23 005,4316.480581256259,35.8,14014.0,-95814640.11432506,0.4505,-0.5497025735130916,0.05892399658411614,0.26074580130942215,0.0,1.0,-0.10305798252581413,1.0093484600359464,-0.11143984220907296,0.1638699731186347,-0.003381642512077295,0.05265700483091784,-0.05383326351068286,0.8655394314611746,-0.07247271978587608,0.20451960233609826,-0.008982035928143712,0.0424151696606786,36,005,36005002300,23,G5020,S,104645,0,40.8090823,-073.9258441,"POLYGON ((-73.928806 40.809899, -73.928135 40.809622, -73.927773 40.810108, -73.927673 40.810235, -73.927121 40.810949, -73.926321 40.810586, -73.92614 40.810503, -73.925142 40.81005, -73.92288599999999 40.809106, -73.923375 40.808431999999996, -73.92383699999999 40.807809, -73.92426499999999 40.807175, -73.924713 40.80737, -73.925507 40.807718, -73.926524 40.808161999999996, -73.92742 40.808552, -73.927618 40.808637999999995, -73.928556 40.809045999999995, -73.929219 40.809563999999995, -73.928806 40.809899))",1.0464543775812336,1.8345070422535212,2.9615384615384617,0.6106485567190454,3.63,0.23485299351132172,3.290625,0.7514608643807899,0.11744456146706121,3.5,0.14091992046185892,3.7142857142857144,0.16440112251485228,4.25,0.09394367198231453
Census Tract 25 005,4466.163792648797,32.0,15423.0,653800.0,0.4871,-0.49458317477582747,0.071119654012494,0.24843825084094184,0.03348104382077794,0.9177744953225012,0.15403323875152006,0.7146603724101757,-0.059652509652509726,-0.13234421848881192,0.012667878283507853,0.06153054566132021,0.06330532212885154,0.5088852988691438,-0.013168557536466787,0.14598054766371102,0.01418533711551986,0.04946769358588765,36,005,36005002500,25,G5020,S,127492,0,40.8070025,-073.9208749,"POLYGON ((-73.92383699999999 40.807809, -73.923375 40.808431999999996, -73.92288599999999 40.809106, -73.920046 40.807907, -73.919224 40.807558, -73.917479 40.806823, -73.917964 40.806115999999996, -73.918819 40.804905, -73.920615 40.805651, -73.921448 40.805989, -73.92263799999999 40.806478999999996, -73.92426499999999 40.807175, -73.92383699999999 40.807809))",1.2749196546199655,1.823920265780731,2.752,0.5871494198931869,3.7083333333333335,0.2818262014504587,3.506666666666667,0.7044715178833405,0.09395018124524257,3.875,0.0939492133150967,3.8333333333333335,0.14093381657865897,4.0,0.07044791076098332
Census Tract 27.01 005,3275.1250407525813,29.4,13016.0,-95814640.11432506,0.4438,-0.5971068712997076,0.08385985066053991,0.27742676622630674,0.0018331805682859762,0.9395050412465628,-0.1276526281423441,1.0093484600359464,-0.1514340344168261,0.11701376015349652,0.0018331805682859762,0.017686859428380886,-0.11405835543766578,0.8655394314611746,-0.01965981886459028,0.147841508817856,0.0018331805682859762,-0.03571619769149037,36,005,36005002701,27.01,G5020,S,81584,0,40.8050791,-073.9163464,"POLYGON ((-73.917964 40.806115999999996, -73.917479 40.806823, -73.914495 40.805561, -73.914997 40.804871999999996, -73.913478 40.804263, -73.91405999999999 40.80399, -73.914172 40.80394, -73.914262 40.803902, -73.914429 40.803844999999995, -73.91458899999999 40.803796999999996, -73.914776 40.803762, -73.91490499999999 40.803742, -73.91504599999999 40.803726999999995, -73.915166 40.803716, -73.915324 40.803705, -73.915498 40.803698, -73.91563099999999 40.8037, -73.915789 40.803711, -73.915868 40.803714, -73.917315 40.804297999999996, -73.918819 40.804905, -73.917964 40.806115999999996))",0.8158467132558729,1.8221476510067114,2.142105263157895,0.4462332980603463,4.1,0.18787580474234805,3.512,0.5870457119219403,0.04697294753098319,4.0,0.07046780879479793,3.8333333333333335,0.14093381657865897,4.0,0.07044791076098332
